,filename,result_50_features,distance_50_features,second_result_50_features,second_distance_50_features,time_50_features,result_100_features,distance_100_features,second_result_100_features,second_distance_100_features,time_100_features,result_200_features,distance_200_features,second_result_200_features,second_distance_200_features,time_200_features,result_300_features,distance_300_features,second_result_300_features,second_distance_300_features,time_300_features,result_fvector,distance_fvector,second_result_fvector,second_distance_fvector,time_fvector
0,IMG_20190323_113728.jpg,"[""zaal_9__IMG_20190323_113728__01.png""]",[377.0],"[""zaal_14__IMG_20190323_114750__01.png""]",[1420.0],[0.09109175499906996],"[""zaal_9__IMG_20190323_113728__01.png""]",[286.0],"[""zaal_S__IMG_20190323_123015__01.png""]",[1084.0],[0.1589128659979906],"[""zaal_9__IMG_20190323_113728__01.png""]",[220.0],"[""Zaal_D__20190323_113342__01.png""]",[941.0],[0.3725952380009403],"[""zaal_9__IMG_20190323_113728__01.png""]",[194.0],"[""zaal_15__IMG_20190323_120146__01.png""]",[901.0],[0.6947411230030411],"[""zaal_9__IMG_20190323_113728__01.png""]",[0.12321406602859497],"[""zaal_19__IMG_20190323_121420__13.png""]",[0.16515058279037476],[0.7284287549991859]
1,IMG_20190323_113653.jpg,"[""zaal_9__IMG_20190323_113653__01.png""]",[300.0],"[""zaal_S__IMG_20190323_122919__02.png""]",[1445.0],[0.09115197699793498],"[""zaal_9__IMG_20190323_113653__01.png""]",[214.0],"[""zaal_15__IMG_20190323_120146__01.png""]",[1182.0],[0.16544587999669602],"[""zaal_9__IMG_20190323_113653__01.png""]",[184.0],"[""zaal_15__IMG_20190323_120146__01.png""]",[964.0],[0.3766074180020951],"[""zaal_9__IMG_20190323_113653__01.png""]",[153.0],"[""zaal_1__IMG_20190323_111749__03.png""]",[876.0],[0.6999579490002361],"[""zaal_9__IMG_20190323_113653__01.png""]",[0.10056722164154053],"[""zaal_9__IMG_20190323_113728__01.png""]",[0.247525155544281],[0.5715298149989394]
2,IMG_20190323_113739.jpg,"[""zaal_9__IMG_20190323_113739__01.png""]",[346.0],"[""zaal_6__IMG_20190323_112904__01.png""]",[1527.0],[0.07080721399688628],"[""zaal_9__IMG_20190323_113739__01.png""]",[313.0],"[""Zaal_J__20190323_121436__01.png""]",[1045.0],[0.14549113700195448],"[""zaal_9__IMG_20190323_113739__01.png""]",[255.0],"[""Zaal_B__20190323_112322__01.png""]",[828.0],[0.3568113129986159],"[""zaal_9__IMG_20190323_113739__01.png""]",[226.0],"[""Zaal_B__20190323_112322__01.png""]",[730.0],[0.6776101920004294],"[""zaal_9__IMG_20190323_113739__01.png""]",[0.1526535153388977],"[""zaal_10__IMG_20190323_113834__01.png""]",[0.28218400478363037],[0.5808383250005136]
3,IMG_20190323_113734.jpg,"[""zaal_9__IMG_20190323_113734__01.png""]",[277.0],"[""Zaal_D__20190323_114017__01.png""]",[1116.0],[0.07557523200011929],"[""zaal_9__IMG_20190323_113734__01.png""]",[272.0],"[""Zaal_J__20190323_121730__01.png""]",[724.0],[0.13939427199875354],"[""zaal_9__IMG_20190323_113734__01.png""]",[251.0],"[""Zaal_J__20190323_121730__01.png""]",[643.0],[0.35212745600074413],"[""zaal_9__IMG_20190323_113734__01.png""]",[230.0],"[""Zaal_J__20190323_121730__01.png""]",[626.0],[0.6733820939989528],"[""zaal_9__IMG_20190323_113734__01.png""]",[0.1477590799331665],"[""zaal_10__IMG_20190323_113920__01.png""]",[0.17845463752746582],[0.629831374000787]
4,IMG_20190323_113745.jpg,"[""zaal_9__IMG_20190323_113745__01.png""]",[297.0],"[""zaal_7__IMG_20190323_113057__01.png""]",[1535.0],[0.08586529799868003],"[""zaal_9__IMG_20190323_113745__01.png""]",[241.0],"[""Zaal_J__20190323_121753__01.png""]",[909.0],[0.1604155310014903],"[""zaal_9__IMG_20190323_113745__01.png""]",[203.0],"[""Zaal_J__20190323_121753__01.png""]",[802.0],[0.3673781949983095],"[""zaal_9__IMG_20190323_113745__01.png""]",[179.0],"[""Zaal_L__20190323_122703__01.png""]",[747.0],[0.6956704959993658],"[""zaal_9__IMG_20190323_113745__01.png""]",[0.16441690921783447],"[""zaal_10__IMG_20190323_113915__01.png""]",[0.17334282398223877],[0.5527637749983114]
5,IMG_20190323_113701.jpg,"[""zaal_9__IMG_20190323_113701__01.png""]",[511.0],"[""zaal_2__IMG_20190323_112012__01.png""]",[1376.0],[0.08243714700074634],"[""zaal_9__IMG_20190323_113701__01.png""]",[288.0],"[""zaal_15__IMG_20190323_120146__01.png""]",[1055.0],[0.15850454999963404],"[""zaal_9__IMG_20190323_113701__01.png""]",[235.0],"[""zaal_15__IMG_20190323_120146__01.png""]",[889.0],[0.3615858869998192],"[""zaal_9__IMG_20190323_113701__01.png""]",[212.0],"[""zaal_15__IMG_20190323_120146__01.png""]",[812.0],[0.67933457899926],"[""Zaal_D__20190323_113528__01.png""]",[0.22196149826049805],"[""zaal_9__IMG_20190323_113701__01.png""]",[0.23888975381851196],[0.5588615480010048]
6,IMG_20190323_111804.jpg,"[""zaal_1__IMG_20190323_111804__01.png""]",[148.0],"[""zaal_15__IMG_20190323_115911__01.png""]",[1329.0],[0.08237882500179694],"[""zaal_1__IMG_20190323_111804__01.png""]",[92.0],"[""zaal_15__IMG_20190323_120146__01.png""]",[1128.0],[0.1519958550015872],"[""zaal_1__IMG_20190323_111804__01.png""]",[75.0],"[""Zaal_B__20190323_112346__01.png""]",[937.0],[0.3623843120003585],"[""zaal_1__IMG_20190323_111804__01.png""]",[58.0],"[""Zaal_D__20190323_113603__01.png""]",[897.0],[0.6910596109992184],"[""zaal_1__IMG_20190323_111804__01.png""]",[0.1327863335609436],"[""zaal_S__IMG_20190323_122915__01.png""]",[0.314852774143219],[0.548351648998505]
7,IMG_20190323_111828.jpg,"[""zaal_1__IMG_20190323_111828__01.png""]",[351.0],"[""Zaal_D__20190323_113603__01.png""]",[1415.0],[0.08761639899967122],"[""zaal_1__IMG_20190323_111828__01.png""]",[265.0],"[""zaal_7__IMG_20190323_113121__01.png""]",[1125.0],[0.1583913950016722],"[""zaal_1__IMG_20190323_111828__01.png""]",[208.0],"[""Zaal_D__20190323_113342__01.png""]",[972.0],[0.3718360870007018],"[""zaal_1__IMG_20190323_111828__01.png""]",[183.0],"[""Zaal_D__20190323_114017__01.png""]",[926.0],[0.6962194199986698],"[""zaal_1__IMG_20190323_111828__01.png""]",[0.14707404375076294],"[""Zaal_H__20190323_120721__01.png""]",[0.22947686910629272],[0.548061075998703]
8,IMG_20190323_111749.jpg,"[""zaal_1__IMG_20190323_111749__01.png"", ""zaal_1__IMG_20190323_111749__02.png"", ""zaal_19__IMG_20190323_121139__03.png""]","[372.0, 714.0, 1199.0]","[""zaal_14__IMG_20190323_114750__01.png"", ""zaal_15__IMG_20190323_115249__01.png"", ""zaal_19__IMG_20190323_121604__09.png""]","[1347.0, 1348.0, 1447.0]","[0.07703229899925645, 0.08157386600214522, 0.06980010400002357]","[""zaal_1__IMG_20190323_111749__01.png"", ""zaal_1__IMG_20190323_111749__02.png"", ""zaal_1__IMG_20190323_111749__03.png""]","[317.0, 505.0, 329.0]","[""zaal_1__IMG_20190323_111749__05.png"", ""zaal_19__IMG_20190323_121420__07.png"", ""zaal_15__IMG_20190323_120146__01.png""]","[1064.0, 1064.0, 948.0]","[0.14991003700197325, 0.1496688240004005, 0.14366641499873367]","[""zaal_1__IMG_20190323_111749__01.png"", ""zaal_1__IMG_20190323_111749__02.png"", ""zaal_1__IMG_20190323_111749__03.png""]","[269.0, 443.0, 258.0]","[""Zaal_B__20190323_112228__01.png"", ""zaal_S__IMG_20190323_122939__02.png"", ""zaal_15__IMG_20190323_120146__01.png""]","[900.0, 911.0, 758.0]","[0.3655966009973781, 0.3609831200010376, 0.3538067849985964]","[""zaal_1__IMG_20190323_111749__01.png"", ""zaal_1__IMG_20190323_111749__02.png"", ""zaal_1__IMG_20190323_111749__03.png""]","[244.0, 417.0, 222.0]","[""Zaal_B__20190323_112409__01.png"", ""zaal_S__IMG_20190323_122939__02.png"", ""zaal_15__IMG_20190323_115959__01.png""]","[792.0, 825.0, 685.0]","[0.681988550000824, 0.6859371129976353, 0.6767922409999301]","[""zaal_1__IMG_20190323_111749__01.png"", ""zaal_1__IMG_20190323_111749__02.png"", ""zaal_1__IMG_20190323_111749__03.png""]","[0.2580576539039612, 0.3731961250305176, 0.17561209201812744]","[""zaal_1__IMG_20190323_111749__02.png"", ""zaal_1__IMG_20190323_111749__01.png"", ""zaal_2__IMG_20190323_112206__01.png""]","[0.44925880432128906, 0.4337186813354492, 0.43016815185546875]","[0.5519099110024399, 0.5716634199998225, 0.5679627829995297]"
9,IMG_20190323_111845.jpg,"[""zaal_1__IMG_20190323_111845__02.png"", ""zaal_1__IMG_20190323_111845__01.png""]","[359.0, 333.0]","[""Zaal_I__20190323_121222__01.png"", ""Zaal_H__20190323_120646__01.png""]","[1456.0, 1332.0]","[0.08651590999943437, 0.09785120299784467]","[""zaal_1__IMG_20190323_111845__02.png"", ""zaal_1__IMG_20190323_111845__01.png""]","[198.0, 233.0]","[""zaal_S__IMG_20190323_122919__06.png"", ""Zaal_J__20190323_121753__01.png""]","[1180.0, 1078.0]","[0.15228288299840642, 0.15677470000082394]","[""zaal_1__IMG_20190323_111845__02.png"", ""zaal_1__IMG_20190323_111845__01.png""]","[163.0, 185.0]","[""zaal_18__IMG_20190323_120725__01.png"", ""Zaal_C__20190323_112836__12.png""]","[820.0, 920.0]","[0.3798155399999814, 0.40605063999828417]","[""zaal_1__IMG_20190323_111845__02.png"", ""zaal_1__IMG_20190323_111845__01.png""]","[139.0, 166.0]","[""zaal_18__IMG_20190323_120725__01.png"", ""Zaal_B__20190323_112409__01.png""]","[684.0, 844.0]","[0.6750827659998322, 0.686932282998896]","[""zaal_1__IMG_20190323_111845__02.png"", ""zaal_1__IMG_20190323_111845__01.png""]","[0.08959931135177612, 0.0937734842300415]","[""zaal_1__IMG_20190323_111858__01.png"", ""zaal_2__IMG_20190323_112228__01.png""]","[0.2457062005996704, 0.1959514617919922]","[0.5645908509977744, 0.5640401410018967]"
