,filename,result_euclidean,distance_euclidean,second_distance_euclidean,time_euclidean,result_cityblock,distance_cityblock,second_distance_cityblock,time_cityblock,result_minkowski,distance_minkowski,second_distance_minkowski,time_minkowski,result_chebyshev,distance_chebyshev,second_distance_chebyshev,time_chebyshev,result_cosine,distance_cosine,second_distance_cosine,time_cosine,result_jaccard,distance_jaccard,second_distance_jaccard,time_jaccard
0,IMG_20190323_114826.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1,IMG_20190323_114836.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2,IMG_20190323_114931.jpg,"[""zaal_14__IMG_20190323_114931__01.png""]",[44.11496353149414],[53.9024772644043],[1.8481676660000002],"[""zaal_14__IMG_20190323_114931__01.png""]",[1258.44384765625],[1522.607177734375],[0.05522812500000107],"[""zaal_14__IMG_20190323_114931__01.png""]",[44.11496353149414],[53.9024772644043],[0.055046291000000025],"[""zaal_14__IMG_20190323_114931__01.png""]",[4.6558427810668945],[5.377811908721924],[0.2190149580000007],"[""zaal_14__IMG_20190323_114931__01.png""]",[0.12903177738189697],[0.196569561958313],[0.07841166599999916],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.0668932910000013]
3,IMG_20190323_114845.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,IMG_20190323_114924.jpg,"[""zaal_15__IMG_20190323_120301__01.png""]",[62.7288932800293],[63.481204986572266],[0.06024262500000077],"[""zaal_15__IMG_20190323_120301__01.png""]",[1973.84326171875],[2004.9998779296875],[0.05434504099999948],"[""zaal_15__IMG_20190323_120301__01.png""]",[62.7288932800293],[63.481204986572266],[0.05399970900000106],"[""Zaal_M__20190323_123303__01.png""]",[5.508823394775391],[5.5281524658203125],[0.21495625000000018],"[""zaal_17__IMG_20190323_120545__01.png""]",[0.32107996940612793],[0.3423105478286743],[0.07729983399999973],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.06588158299999947]
5,IMG_20190323_114853.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
6,IMG_20190323_114720.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
7,IMG_20190323_114730.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,IMG_20190323_114917.jpg,"[""zaal_14__IMG_20190323_114917__01.png""]",[46.508453369140625],[64.77000427246094],[0.06736320899999981],"[""zaal_14__IMG_20190323_114917__01.png""]",[1096.6873779296875],[1571.3056640625],[0.05830920800000072],"[""zaal_14__IMG_20190323_114917__01.png""]",[46.508453369140625],[64.77000427246094],[0.054515417000001065],"[""zaal_14__IMG_20190323_114917__01.png""]",[5.702351093292236],[7.391797065734863],[0.2160727499999986],"[""zaal_14__IMG_20190323_114917__01.png""]",[0.07964456081390381],[0.15992921590805054],[0.0771955000000002],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.06532733300000082]
9,IMG_20190323_114807.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
10,IMG_20190323_114742.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
11,IMG_20190323_114815.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
12,IMG_20190323_114800.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13,IMG_20190323_114750.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
14,IMG_20190323_114601.jpg,"[""zaal_13__IMG_20190323_114601__01.png""]",[45.230194091796875],[53.441585540771484],[0.0625389589999994],"[""zaal_13__IMG_20190323_114601__01.png""]",[1154.333984375],[1378.455322265625],[0.058138250000000724],"[""zaal_13__IMG_20190323_114601__01.png""]",[45.230194091796875],[53.441585540771484],[0.056664291999998895],"[""zaal_13__IMG_20190323_114601__01.png""]",[4.9337286949157715],[5.49653434753418],[0.21735233400000098],"[""zaal_13__IMG_20190323_114601__01.png""]",[0.10645365715026855],[0.16724014282226562],[0.0759677080000003],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.06785041599999886]
15,IMG_20190323_114629.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
